category,word
물건,스마트폰
물건,선풍기
물건,냉장고
물건,텔레비전
물건,세탁기
물건,에어컨
물건,전자레인지
물건,컴퓨터
물건,마우스
물건,키보드
물건,모니터
물건,프린터
물건,책상
물건,의자
물건,침대
물건,옷장
물건,서랍장
물건,소파
물건,식탁
물건,신발장
물건,거울
물건,시계
물건,안경
물건,칫솔
물건,치약
물건,비누
물건,수건
물건,샴푸
물건,린스
물건,바디워시
물건,휴지
물건,물티슈
물건,볼펜
물건,연필
물건,지우개
물건,샤프
물건,형광펜
물건,가위
물건,풀
물건,테이프
물건,칼
물건,자
물건,노트
물건,다이어리
물건,달력
물건,지갑
물건,가방
물건,배낭
물건,캐리어
물건,우산
물건,양산
물건,모자
물건,양말
물건,신발
물건,구두
물건,운동화
물건,슬리퍼
물건,장화
물건,장갑
물건,목도리
물건,넥타이
물건,벨트
물건,귀걸이
물건,목걸이
물건,반지
물건,팔찌
물건,향수
물건,화장품
물건,립스틱
물건,선크림
물건,스킨
물건,로션
물건,빗
물건,헤어드라이어
물건,고데기
물건,면도기
물건,손톱깎이
물건,귀이개
물건,리모컨
물건,충전기
물건,보조배터리
물건,이어폰
물건,헤드폰
물건,스피커
물건,카메라
물건,마이크
물건,삼각대
물건,드론
물건,게임기
물건,자전거
물건,킥보드
물건,오토바이
물건,자동차
물건,버스
물건,지하철
물건,기차
물건,비행기
물건,배
물건,헬리콥터
물건,신호등
물건,가로등
물건,우체통
물건,쓰레기통
물건,소화기
물건,냄비
물건,프라이팬
물건,도마
물건,식칼
물건,국자
물건,주걱
물건,뒤집개
물건,집게
물건,가스레인지
물건,인덕션
물건,오븐
물건,믹서기
물건,커피머신
물건,토스터
물건,밥솥
물건,식기세척기
물건,컵
물건,텀블러
물건,그릇
물건,접시
물건,숟가락
물건,젓가락
물건,포크
물건,나이프
물건,빨대
물건,쟁반
물건,수세미
물건,주방세제
물건,고무장갑
물건,앞치마
물건,행주
물건,빗자루
물건,쓰레받기
물건,걸레
물건,청소기
물건,밀대
물건,세제
물건,섬유유연제
물건,빨래건조대
물건,다리미
물건,다리미판
물건,옷걸이
물건,바늘
물건,실
물건,단추
물건,옷핀
물건,열쇠
물건,자물쇠
물건,도어락
물건,우산꽂이
물건,화분
물건,물뿌리개
물건,액자
물건,그림
물건,사진
물건,조명
물건,스탠드
물건,향초
물건,디퓨저
물건,장난감
물건,인형
물건,로봇
물건,퍼즐
물건,레고
물건,보드게임
물건,트럼프카드
물건,화투
물건,주사위
물건,공
물건,줄넘기
물건,훌라후프
물건,아령
물건,요가매트
물건,건전지
물건,멀티탭
물건,공유기
물건,마스크
물건,반창고
물건,파스
물건,소독약
물건,안약
물건,인공눈물
물건,렌즈
물건,식염수
물건,핫팩
물건,손난로
물건,부채
물건,텐트
물건,돗자리
물건,침낭
물건,랜턴
물건,아이스박스
물건,튜브
물건,구명조끼
물건,수영복
물건,비옷
물건,패딩
물건,코트
물건,자켓
물건,점퍼
물건,가디건
물건,스웨터
물건,니트
물건,맨투맨
물건,후드티
물건,티셔츠
물건,바지
물건,치마
물건,원피스
물건,정장
물건,잠옷
물건,속옷
물건,기저귀
물건,면봉
물건,이쑤시개
동물,사자
동물,호랑이
동물,코끼리
동물,기린
동물,얼룩말
동물,하마
동물,코뿔소
동물,원숭이
동물,고릴라
동물,침팬지
동물,곰
동물,북극곰
동물,판다
동물,늑대
동물,여우
동물,너구리
동물,사슴
동물,토끼
동물,다람쥐
동물,청설모
동물,쥐
동물,고양이
동물,개
동물,강아지
동물,돼지
동물,소
동물,말
동물,양
동물,염소
동물,닭
동물,오리
동물,거위
동물,칠면조
동물,타조
동물,독수리
동물,매
동물,부엉이
동물,올빼미
동물,까마귀
동물,까치
동물,참새
동물,비둘기
동물,앵무새
동물,펭귄
동물,백조
동물,두루미
동물,뱀
동물,악어
동물,거북이
동물,도마뱀
동물,개구리
동물,두꺼비
동물,고래
동물,상어
동물,돌고래
동물,물개
동물,바다표범
동물,수달
동물,해달
동물,오징어
동물,문어
동물,낙지
동물,해파리
동물,불가사리
동물,꽃게
동물,새우
동물,랍스터
동물,조개
동물,굴
동물,홍합
동물,소라
동물,달팽이
동물,지렁이
동물,거미
동물,전갈
동물,지네
동물,나비
동물,나방
동물,벌
동물,파리
동물,모기
동물,잠자리
동물,메뚜기
동물,사마귀
동물,매미
동물,무당벌레
동물,쇠똥구리
동물,개미
동물,바퀴벌레
동물,귀뚜라미
동물,하루살이
동물,벼룩
동물,진드기
동물,미꾸라지
동물,붕어
동물,잉어
동물,메기
동물,연어
동물,참치
동물,고등어
동물,갈치
동물,명태
요리,김치찌개
요리,된장찌개
요리,부대찌개
요리,순두부찌개
요리,동태찌개
요리,미역국
요리,떡국
요리,만둣국
요리,해장국
요리,설렁탕
요리,곰탕
요리,갈비탕
요리,삼계탕
요리,육개장
요리,닭볶음탕
요리,찜닭
요리,아구찜
요리,해물찜
요리,갈비찜
요리,불고기
요리,제육볶음
요리,오징어볶음
요리,낙지볶음
요리,떡볶이
요리,라면
요리,김밥
요리,순대
요리,튀김
요리,어묵
요리,핫도그
요리,햄버거
요리,피자
요리,치킨
요리,샌드위치
요리,토스트
요리,파스타
요리,스파게티
요리,리조또
요리,스테이크
요리,돈까스
요리,탕수육
요리,짜장면
요리,짬뽕
요리,볶음밥
요리,잡채
요리,마라탕
요리,훠궈
요리,양꼬치
요리,초밥
요리,사시미
요리,우동
요리,소바
요리,라멘
요리,돈부리
요리,카레
요리,팟타이
요리,쌀국수
요리,월남쌈
요리,타코
요리,브리또
요리,케밥
요리,비빔밥
요리,덮밥
요리,국밥
요리,칼국수
요리,수제비
요리,잔치국수
요리,비빔국수
요리,냉면
요리,쫄면
요리,막국수
요리,닭갈비
요리,삼겹살
요리,소갈비
요리,곱창
요리,막창
요리,족발
요리,보쌈
요리,탕후루
요리,붕어빵
요리,호떡
요리,타코야끼
요리,계란빵
요리,군고구마
요리,군밤
요리,빙수
요리,아이스크림
요리,케이크
요리,마카롱
요리,초콜릿
요리,사탕
요리,젤리
요리,과자
요리,빵
요리,쿠키
요리,와플
요리,도넛
요리,베이글
요리,크루아상
요리,샐러드
요리,김치전
요리,해물파전
요리,감자전
장소,학교
장소,학원
장소,도서관
장소,유치원
장소,어린이집
장소,대학교
장소,병원
장소,약국
장소,보건소
장소,경찰서
장소,소방서
장소,우체국
장소,동사무소
장소,시청
장소,법원
장소,은행
장소,영화관
장소,식당
장소,카페
장소,빵집
장소,편의점
장소,마트
장소,백화점
장소,시장
장소,미용실
장소,이발소
장소,목욕탕
장소,찜질방
장소,헬스장
장소,수영장
장소,볼링장
장소,당구장
장소,피시방
장소,노래방
장소,오락실
장소,놀이공원
장소,동물원
장소,식물원
장소,수족관
장소,박물관
장소,미술관
장소,전시관
장소,공원
장소,놀이터
장소,운동장
장소,체육관
장소,야구장
장소,축구장
장소,골프장
장소,스키장
장소,스케이트장
장소,캠핑장
장소,바다
장소,해수욕장
장소,산
장소,계곡
장소,호수
장소,강
장소,섬
장소,동굴
장소,온천
장소,호텔
장소,모텔
장소,펜션
장소,리조트
장소,공항
장소,기차역
장소,지하철역
장소,버스터미널
장소,주유소
장소,휴게소
장소,주차장
장소,세차장
장소,교회
장소,성당
장소,절
장소,장례식장
장소,예식장
장소,공장
장소,창고
장소,회사
장소,사무실
장소,아파트
장소,주택
장소,빌라
장소,원룸
장소,고시원
장소,에펠탑
장소,자유의여신상
장소,만리장성
장소,피라미드
장소,타지마할
장소,콜로세움
장소,오페라하우스
직업,선생님
직업,교수
직업,강사
직업,의사
직업,간호사
직업,약사
직업,한의사
직업,수의사
직업,치과의사
직업,물리치료사
직업,판사
직업,검사
직업,변호사
직업,경찰
직업,소방관
직업,군인
직업,경호원
직업,탐정
직업,정치인
직업,대통령
직업,국회의원
직업,공무원
직업,외교관
직업,은행원
직업,회계사
직업,세무사
직업,요리사
직업,파티시에
직업,바리스타
직업,소믈리에
직업,승무원
직업,조종사
직업,선장
직업,항해사
직업,버스기사
직업,택시기사
직업,기관사
직업,택배기사
직업,환경미화원
직업,경비원
직업,청소부
직업,농부
직업,어부
직업,광부
직업,목수
직업,배관공
직업,전기기사
직업,용접공
직업,건축가
직업,디자이너
직업,화가
직업,조각가
직업,사진작가
직업,작가
직업,소설가
직업,시인
직업,기자
직업,아나운서
직업,피디
직업,배우
직업,탤런트
직업,가수
직업,아이돌
직업,래퍼
직업,댄서
직업,안무가
직업,작곡가
직업,작사가
직업,연주자
직업,지휘자
직업,성우
직업,모델
직업,유튜버
직업,프로게이머
직업,운동선수
직업,코치
직업,감독
직업,심판
직업,마술사
직업,코미디언
직업,개그맨
직업,미용사
직업,메이크업아티스트
직업,스타일리스트
직업,승려
직업,목사
직업,신부
직업,수녀
직업,과학자
직업,연구원
직업,우주비행사
직업,프로그래머
직업,개발자
직업,해커
직업,통역사
직업,번역가
인물,세종대왕
인물,이순신
인물,유관순
인물,안중근
인물,김구
인물,윤봉길
인물,신사임당
인물,율곡이이
인물,퇴계이황
인물,장영실
인물,정약용
인물,김유신
인물,계백
인물,강감찬
인물,서희
인물,을지문덕
인물,광개토대왕
인물,장보고
인물,왕건
인물,이성계
인물,영조
인물,정조
인물,단군
인물,박혁거세
인물,주몽
인물,김홍도
인물,신윤복
인물,김정호
인물,박지원
인물,허준
인물,손흥민
인물,김연아
인물,류현진
인물,박지성
인물,박찬호
인물,이강인
인물,페이커
인물,유재석
인물,강호동
인물,신동엽
인물,이효리
인물,아이유
인물,지드래곤
인물,싸이
인물,조용필
인물,나훈아
인물,송강호
인물,최민식
인물,이병헌
인물,마동석
인물,황정민
인물,윤여정
인물,전도연
인물,김혜수
인물,김태희
인물,전지현
인물,송혜교
인물,현빈
인물,공유
인물,박보검
인물,김수현
인물,봉준호
인물,박찬욱
인물,나영석
인물,백종원
인물,이재용
인물,정주영
인물,이병철
인물,빌게이츠
인물,스티브잡스
인물,일론머스크
인물,마크저커버그
인물,아인슈타인
인물,에디슨
인물,뉴턴
인물,갈릴레이
인물,다윈
인물,퀴리부인
인물,셰익스피어
인물,베토벤
인물,모차르트
인물,피카소
인물,반고흐
인물,레오나르도다빈치
인물,콜럼버스
인물,마젤란
인물,링컨
인물,워싱턴
인물,마틴루터킹
인물,넬슨만델라
인물,간디
인물,나폴레옹
인물,클레오파트라
인물,잔다르크
인물,히틀러
영화,명량
영화,극한직업
영화,신과함께
영화,국제시장
영화,어벤져스
영화,아바타
영화,베테랑
영화,괴물
영화,도둑들
영화,7번방의선물
영화,암살
영화,광해
영화,범죄도시
영화,택시운전사
영화,태극기휘날리며
영화,부산행
영화,해운대
영화,변호인
영화,왕의남자
영화,기생충
영화,아이언맨
영화,스파이더맨
영화,해리포터
영화,반지의제왕
영화,타이타닉
영화,매트릭스
영화,터미네이터
영화,스타워즈
영화,쥬라기공원
영화,인셉션
영화,인터스텔라
영화,다크나이트
영화,토이스토리
영화,겨울왕국
영화,라이온킹
영화,알라딘
영화,미녀와야수
영화,슈렉
영화,쿵푸팬더
영화,미션임파서블
